x	y	z	value	use	f_bg	f_signal_count	f_peak_signal	f_x	f_y	f_z	f_sigma_lateral	f_sigma_axial	f_status	f_error	f_corr
668.000000	1298.000000	13.000000	27233.427734	1.000000	928.864319	5197049.500000	400657.875000	667.693420	1297.684204	12.573876	1.336555	0.461041	27.000000	-53292124.000000	0.808606
1005.000000	1689.000000	13.000000	27162.478516	1.000000	599.553406	4912914.500000	439284.375000	1005.275635	1689.083618	12.557008	1.265662	0.443290	27.000000	-50722480.000000	0.838005
387.000000	618.000000	13.000000	27153.285156	1.000000	1277.874634	4499394.000000	316125.718750	387.183167	618.185974	12.935958	1.362864	0.486541	27.000000	-45338460.000000	0.818680
556.000000	685.000000	13.000000	27012.609375	1.000000	1170.192993	4473597.500000	328547.093750	556.298462	685.014587	12.835070	1.338930	0.482252	27.000000	-45229720.000000	0.827291
1247.000000	1784.000000	13.000000	26954.701172	1.000000	826.721985	4475303.500000	300526.718750	1246.880981	1784.246948	12.955585	1.347618	0.520638	27.000000	-45232096.000000	0.848204
319.000000	1909.000000	13.000000	26600.255859	1.000000	1540.932129	4284952.000000	379302.031250	318.965759	1908.876831	12.813993	1.208393	0.491218	27.000000	-43265488.000000	0.859975
763.000000	1773.000000	13.000000	26598.054688	1.000000	1073.268921	5078268.500000	295178.593750	763.122314	1772.515869	12.669882	1.424605	0.538235	27.000000	-51165144.000000	0.843232
269.000000	1239.000000	13.000000	26342.304688	1.000000	1224.335327	4338152.000000	340706.531250	268.727325	1238.916260	12.820500	1.302591	0.476473	27.000000	-43911984.000000	0.839306
1095.000000	551.000000	13.000000	26073.167969	1.000000	922.443848	4674768.500000	404041.875000	1094.553101	550.777527	12.609963	1.276989	0.450495	27.000000	-47697384.000000	0.827190
997.000000	1309.000000	12.000000	26031.292969	1.000000	540.554443	5180277.000000	329712.468750	997.562317	1309.314087	12.414682	1.353115	0.544851	27.000000	-52903212.000000	0.782768
1082.000000	432.000000	13.000000	25956.687500	1.000000	1227.686646	4714670.500000	453447.843750	1082.324097	432.153381	12.567919	1.254059	0.419777	27.000000	-48095960.000000	0.831506
349.000000	961.000000	13.000000	25801.158203	1.000000	1163.145874	4490702.500000	288199.625000	348.986938	961.559265	12.881599	1.391752	0.510772	27.000000	-45004540.000000	0.817843
634.000000	461.000000	13.000000	25586.105469	1.000000	1524.474121	4550285.500000	336708.906250	633.590149	460.961029	12.723298	1.321451	0.491374	27.000000	-45600304.000000	0.833252
1889.000000	1833.000000	22.000000	25566.740234	1.000000	15821.878906	14806180.000000	143079.546875	1889.285278	1834.189941	21.869598	2.176303	1.387257	27.000000	-150246528.000000	0.508048
1559.000000	1008.000000	12.000000	25007.445312	1.000000	367.228516	5194841.000000	368856.000000	1558.549805	1007.605042	12.493332	1.374678	0.473199	27.000000	-53426504.000000	0.709371
42.000000	479.000000	13.000000	24790.015625	1.000000	2013.778809	4314609.000000	304297.937500	42.198338	478.858917	13.078463	1.327525	0.510843	27.000000	-42625056.000000	0.823121
975.000000	874.000000	13.000000	24643.367188	1.000000	0.000000	4806066.000000	148463.171875	975.000000	874.000000	13.000000	1.509405	0.902173	27.000000	-47218352.000000	0.794762
1892.000000	1842.000000	22.000000	24515.917969	1.000000	22792.017578	15233706.000000	124300.835938	1891.388428	1841.639526	21.902739	2.722546	1.049811	27.000000	-154584000.000000	0.395565
410.000000	1815.000000	13.000000	24507.507812	1.000000	1427.108276	4162148.000000	342535.281250	410.462250	1815.208008	12.775104	1.252215	0.492022	27.000000	-41765940.000000	0.842781
2041.000000	1759.000000	12.000000	24430.710938	1.000000	493.574768	3720210.500000	333407.468750	2040.613403	1759.322754	12.121399	1.216897	0.478426	27.000000	-37988744.000000	0.823437
183.000000	603.000000	13.000000	24413.367188	1.000000	1750.117676	4295789.000000	289245.281250	183.328873	603.461548	12.946660	1.340434	0.524827	27.000000	-42544824.000000	0.802148
620.000000	500.000000	13.000000	24388.542969	1.000000	0.000000	4211909.500000	130109.210938	620.000000	500.000000	13.000000	1.509405	0.902173	27.000000	-41063548.000000	0.823304
1426.000000	1606.000000	12.000000	24304.214844	1.000000	345.545197	4457050.000000	326315.281250	1426.342773	1606.224976	12.400600	1.317895	0.499319	27.000000	-45363556.000000	0.836739
669.000000	1803.000000	13.000000	24263.398438	1.000000	919.752319	3831018.000000	376944.968750	669.102295	1802.984863	12.709844	1.188269	0.457022	27.000000	-38803920.000000	0.874113
31.000000	451.000000	13.000000	24181.867188	1.000000	2090.842285	4317427.500000	277111.968750	31.093801	450.637299	13.012059	1.396955	0.506915	27.000000	-42500788.000000	0.794846
1367.000000	1330.000000	16.000000	24143.115234	1.000000	1342.199341	4588374.000000	349795.562500	1367.574097	1330.201416	16.370523	1.177097	0.601104	27.000000	-46250500.000000	0.826323
1908.000000	498.000000	12.000000	23957.173828	1.000000	1254.138672	4591427.000000	311453.000000	1907.822510	497.693359	12.365070	1.355331	0.509559	27.000000	-45929896.000000	0.825464
836.000000	691.000000	13.000000	23929.617188	1.000000	0.000000	4292001.000000	132583.296875	836.000000	691.000000	13.000000	1.509405	0.902173	27.000000	-41949832.000000	0.844966
768.000000	5.000000	13.000000	23854.251953	1.000000	0.000000	3979950.250000	122943.804688	768.000000	5.000000	13.000000	1.509405	0.902173	27.000000	-38720448.000000	0.797173
985.000000	260.000000	13.000000	23784.052734	1.000000	0.000000	4464215.000000	137903.125000	985.000000	260.000000	13.000000	1.509405	0.902173	27.000000	-43370292.000000	0.833992
2007.000000	1665.000000	12.000000	23745.791016	1.000000	923.400574	3866287.000000	302501.218750	2007.208984	1665.090210	12.131702	1.250851	0.518664	27.000000	-38731916.000000	0.862831
1998.000000	1358.000000	12.000000	23717.632812	1.000000	601.137390	4205139.500000	261293.734375	1997.608765	1357.740601	12.184583	1.390965	0.528140	27.000000	-42033068.000000	0.835871
807.000000	2000.000000	15.000000	23497.953125	1.000000	1413.091797	3774316.250000	318404.656250	806.965149	1999.849365	14.970435	1.174991	0.545155	27.000000	-37456108.000000	0.865103
140.000000	141.000000	16.000000	23484.316406	1.000000	3298.864746	4866310.500000	363658.875000	139.610535	141.403244	15.597547	1.163892	0.627206	27.000000	-47931388.000000	0.767386
967.000000	1611.000000	13.000000	23358.199219	1.000000	409.660614	4452309.000000	328888.156250	967.179382	1611.398804	12.575463	1.379725	0.451525	27.000000	-45140392.000000	0.803000
562.000000	1915.000000	13.000000	23253.507812	1.000000	1503.059204	4201979.000000	383717.281250	561.526978	1915.006714	12.629398	1.302008	0.410153	27.000000	-42096780.000000	0.828827
860.000000	971.000000	13.000000	23031.078125	1.000000	0.000000	4096998.500000	126559.515625	860.000000	971.000000	13.000000	1.509405	0.902173	27.000000	-39825084.000000	0.825404
1096.000000	387.000000	14.000000	22986.664062	1.000000	3022.416260	4408481.000000	370227.500000	1096.434448	386.606750	13.784841	1.199239	0.525702	27.000000	-43318196.000000	0.798617
886.000000	732.000000	13.000000	22953.152344	1.000000	0.000000	3974769.500000	122783.765625	886.000000	732.000000	13.000000	1.509405	0.902173	27.000000	-38821260.000000	0.860652
1154.000000	1046.000000	12.000000	22885.064453	1.000000	530.418396	4513805.000000	313550.531250	1153.940674	1045.752808	12.462171	1.357243	0.496193	27.000000	-45592492.000000	0.796774
920.000000	985.000000	13.000000	22730.910156	1.000000	0.000000	3993248.000000	123354.585938	920.000000	985.000000	13.000000	1.509405	0.902173	27.000000	-38861872.000000	0.834200
2015.000000	1545.000000	12.000000	22609.042969	1.000000	627.232422	3696272.750000	268251.937500	2015.030273	1544.498901	12.060147	1.328184	0.495947	27.000000	-37004372.000000	0.814645
627.000000	1471.000000	13.000000	22519.072266	1.000000	3010.024414	5829423.500000	135619.921875	627.018250	1470.703003	12.885594	2.083169	0.628902	27.000000	-56315808.000000	0.720200
1082.000000	515.000000	13.000000	22449.935547	1.000000	1050.910034	3877456.750000	397044.812500	1081.985474	514.879395	12.590177	1.221534	0.415553	27.000000	-38927944.000000	0.860344
1963.000000	1621.000000	12.000000	22323.494141	1.000000	893.524231	3595790.250000	297400.625000	1963.173584	1620.829834	12.172037	1.223734	0.512635	27.000000	-35872680.000000	0.866793
1043.000000	919.000000	12.000000	22288.589844	1.000000	591.974731	4222765.000000	317428.656250	1042.879517	919.241211	12.434755	1.286533	0.510316	27.000000	-42529520.000000	0.810265
1064.000000	1690.000000	13.000000	22268.064453	1.000000	1533.094971	4468165.000000	322015.093750	1064.367188	1690.181641	12.535389	1.282353	0.535757	27.000000	-44571480.000000	0.816621
2031.000000	1555.000000	12.000000	22183.316406	1.000000	970.069763	3507510.500000	309926.843750	2031.121216	1554.802368	12.132725	1.206229	0.493867	27.000000	-35042172.000000	0.851016
1974.000000	844.000000	12.000000	22174.888672	1.000000	767.782959	3765320.000000	295713.343750	1973.500244	843.563721	12.218550	1.263412	0.506491	27.000000	-37690404.000000	0.815475
1279.000000	139.000000	13.000000	22094.412109	1.000000	899.858826	4310892.500000	303439.125000	1279.199707	139.477310	12.563766	1.332332	0.508161	27.000000	-43156200.000000	0.770284
1257.000000	1807.000000	13.000000	22060.339844	1.000000	570.084900	3632595.000000	274626.968750	1256.741821	1806.557739	12.808508	1.291579	0.503457	27.000000	-36349876.000000	0.833217
1576.000000	1945.000000	12.000000	22038.560547	1.000000	843.914856	3984224.000000	277370.562500	1575.969360	1945.167969	12.322423	1.301629	0.538318	27.000000	-39582120.000000	0.879972
1633.000000	2001.000000	12.000000	21891.562500	1.000000	821.744019	3608567.250000	273084.281250	1632.651611	2001.179932	12.131005	1.260960	0.527674	27.000000	-35840224.000000	0.860932
2007.000000	1601.000000	12.000000	21765.281250	1.000000	874.144348	3641286.250000	273039.812500	2007.387817	1601.503296	12.010417	1.291258	0.507847	27.000000	-36265872.000000	0.801109
1307.000000	1428.000000	16.000000	21752.714844	1.000000	513.647827	3618130.000000	265099.875000	1307.390015	1428.098999	16.074419	1.184724	0.617406	27.000000	-35941348.000000	0.897146
1148.000000	862.000000	12.000000	21636.498047	1.000000	395.380371	3778249.750000	267991.750000	1148.069702	862.333984	12.302421	1.299666	0.529951	27.000000	-37692748.000000	0.866731
75.000000	1042.000000	13.000000	21634.244141	1.000000	1417.069702	3618848.250000	324790.187500	74.675110	1041.954346	12.728188	1.217992	0.476880	27.000000	-35835036.000000	0.846715
471.000000	1333.000000	13.000000	21620.115234	1.000000	1168.705566	3982904.250000	384608.593750	470.507446	1333.454956	12.596394	1.263515	0.411860	27.000000	-39952016.000000	0.808823
921.000000	1550.000000	13.000000	21457.314453	1.000000	646.750122	3881389.750000	313815.718750	921.102539	1550.286621	12.602185	1.335275	0.440454	27.000000	-38816196.000000	0.849203
1040.000000	435.000000	13.000000	21331.890625	1.000000	920.839417	3999461.250000	366856.031250	1040.369507	435.251312	12.550900	1.261978	0.434643	27.000000	-40117760.000000	0.799818
593.000000	783.000000	13.000000	21270.037109	1.000000	1172.211670	3768130.000000	273770.437500	593.089966	782.471252	12.734936	1.360886	0.471874	27.000000	-37160892.000000	0.828664
1755.000000	185.000000	12.000000	20822.519531	1.000000	1348.626221	3748143.000000	249463.875000	1755.172485	185.091034	12.224724	1.313451	0.552982	27.000000	-36543912.000000	0.878409
925.000000	1494.000000	13.000000	20777.529297	1.000000	506.282043	4042093.000000	301128.968750	925.061523	1494.146973	12.539063	1.365032	0.457402	27.000000	-40453468.000000	0.810491
1021.000000	1153.000000	13.000000	20686.394531	1.000000	263.459717	3995672.250000	316409.562500	1021.009094	1153.508423	12.534293	1.336001	0.449218	27.000000	-40328372.000000	0.773030
445.000000	14.000000	26.000000	20570.484375	1.000000	1125.520874	4012202.000000	240444.921875	444.856628	13.918543	25.668741	1.135871	0.821182	27.000000	-39077440.000000	0.881448
631.000000	1333.000000	13.000000	20566.171875	1.000000	621.151550	3480655.250000	276135.625000	631.252930	1333.341919	12.687126	1.307425	0.468204	27.000000	-34554116.000000	0.849990
1130.000000	298.000000	12.000000	20513.339844	1.000000	1567.114990	4060858.500000	433240.875000	1130.118896	297.576599	12.487717	1.229079	0.393966	27.000000	-40491428.000000	0.780084
1368.000000	1739.000000	12.000000	20505.125000	1.000000	1234.628174	3705484.750000	313362.031250	1367.612061	1738.732910	12.350626	1.233372	0.493561	27.000000	-36715964.000000	0.831554
